,TCGA.AB.2856.03A,TCGA.AB.2849.03A,TCGA.AB.2971.03A,TCGA.AB.2930.03A,TCGA.AB.2891.03A,TCGA.AB.2872.03A,TCGA.AB.2851.03A,TCGA.AB.3011.03A,TCGA.AB.2949.03B
ENSG00000018510.11,1980,4599,1684,3968,3061,1962,2187,1785,4286
ENSG00000018607.6,0,0,0,0,0,0,0,0,0
ENSG00000018610.12,628,387,458,602,455,396,359,293,592
ENSG00000018625.13,2,4,2,3,3,7,1,1,1
ENSG00000018699.10,832,839,3903,1660,650,602,514,2133,1032
ENSG00000018869.15,75,198,82,234,96,147,131,113,181
ENSG00000019102.10,138,254,106,26,82,17,476,2,150
ENSG00000019144.15,53,850,135,65,32,63,28,134,345
ENSG00000019169.10,19,18,163,7,20,11,259,1,62
ENSG00000019186.8,1,4,5,0,1,0,0,0,1
ENSG00000019485.11,922,1039,959,1636,818,1491,1075,1934,2273
ENSG00000019505.6,0,5,4,0,0,1,2,5,6
ENSG00000019549.7,4,34,1,0,5,39,0,9,9
ENSG00000019582.13,211633,4017,47932,168105,84144,6134,105269,6592,136838
